STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500901,306, , ,0,9999,211, , ,0,9999,256, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500902,311, , ,0,9999,217, , ,0,9999,278, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500903,317, , ,0,9999,217, , ,0,9999,233, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500904,283, , ,0,9999,206, , ,0,9999,222, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500905,222, , ,0,9999,106, , ,0,9999,156, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500906,228, , ,0,9999,94, , ,0,9999,200, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500907,250, , ,0,9999,100, , ,0,9999,217, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500908,272, , ,0,9999,128, , ,0,9999,211, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500909,222, , ,0,9999,167, , ,0,9999,217, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500910,306, , ,0,9999,194, , ,0,9999,217, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500911,289, , ,0,9999,172, , ,0,9999,222, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500912,222, , ,0,9999,172, , ,0,9999,183, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500913,183, , ,0,9999,161, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500914,222, , ,0,9999,156, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500915,250, , ,0,9999,133, , ,0,9999,200, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500916,239, , ,0,9999,111, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500917,222, , ,0,9999,106, , ,0,9999,167, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500918,233, , ,0,9999,94, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500919,250, , ,0,9999,144, , ,0,9999,211, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500920,217, , ,0,9999,150, , ,0,9999,200, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500921,217, , ,0,9999,183, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500922,194, , ,0,9999,139, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500923,228, , ,0,9999,133, , ,0,9999,172, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500924,172, , ,0,9999,50, , ,0,9999,67, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500925,150, , ,0,9999,33, , ,0,9999,100, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500926,172, , ,0,9999,44, , ,0,9999,122, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500927,183, , ,0,9999,61, , ,0,9999,106, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500928,183, , ,0,9999,100, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500929,206, , ,0,9999,122, , ,0,9999,172, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19500930,228, , ,0,9999,128, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501001,261, , ,0,9999,111, , ,0,9999,211, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501002,283, , ,0,9999,139, , ,0,9999,183, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501003,283, , ,0,9999,111, , ,0,9999,183, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501004,183, , ,0,9999,100, , ,0,9999,111, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501005,172, , ,0,9999,61, , ,0,9999,100, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501006,183, , ,0,9999,22, , ,0,9999,117, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501007,189, , ,0,9999,67, , ,0,9999,178, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501008,194, , ,0,9999,150, , ,0,9999,189, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501009,194, , ,0,9999,161, , ,0,9999,172, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501010,211, , ,0,9999,72, , ,0,9999,139, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501011,244, , ,0,9999,83, , ,0,9999,167, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501012,211, , ,0,9999,122, , ,0,9999,139, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501013,167, , ,0,9999,72, , ,0,9999,83, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501014,167, , ,0,9999,22, , ,0,9999,133, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501015,194, , ,0,9999,78, , ,0,9999,133, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501016,189, , ,0,9999,44, , ,0,9999,139, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501017,200, , ,0,9999,89, , ,0,9999,144, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501018,233, , ,0,9999,89, , ,0,9999,156, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501019,239, , ,0,9999,89, , ,0,9999,189, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501020,233, , ,0,9999,144, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501021,206, , ,0,9999,33, , ,0,9999,133, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501022,189, , ,0,9999,61, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501023,167, , ,0,9999,117, , ,0,9999,122, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501024,139, , ,0,9999,-9999, , , ,9999,128, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501025,194, , ,0,9999,100, , ,0,9999,106, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501026,144, , ,0,9999,33, , ,0,9999,33, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501027,150, , ,0,9999,-6, , ,0,9999,111, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501028,189, , ,0,9999,67, , ,0,9999,133, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501029,261, , ,0,9999,94, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501030,278, , ,0,9999,111, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501031,289, , ,0,9999,94, , ,0,9999,206, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501101,306, , ,0,9999,111, , ,0,9999,194, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501102,289, , ,0,9999,106, , ,0,9999,217, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501103,233, , ,0,9999,117, , ,0,9999,172, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501104,244, , ,0,9999,144, , ,0,9999,183, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501105,183, , ,0,9999,33, , ,0,9999,33, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501106,150, , ,0,9999,-22, , ,0,9999,89, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501107,194, , ,0,9999,11, , ,0,9999,100, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501108,206, , ,0,9999,50, , ,0,9999,106, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501109,233, , ,0,9999,89, , ,0,9999,161, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501110,178, , ,0,9999,67, , ,0,9999,67, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501111,67, , ,0,9999,11, , ,0,9999,33, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501112,72, , ,0,9999,-17, , ,0,9999,-11, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501113,94, , ,0,9999,-56, , ,0,9999,33, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501114,128, , ,0,9999,-22, , ,0,9999,39, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501115,156, , ,0,9999,-22, , ,0,9999,78, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501116,211, , ,0,9999,50, , ,0,9999,178, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501117,178, , ,0,9999,50, , ,0,9999,50, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501118,122, , ,0,9999,33, , ,0,9999,50, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501119,133, , ,0,9999,-22, , ,0,9999,106, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501120,178, , ,0,9999,89, , ,0,9999,139, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501121,139, , ,0,9999,11, , ,0,9999,17, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501122,83, , ,0,9999,-67, , ,0,9999,11, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501123,133, , ,0,9999,-11, , ,0,9999,44, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501124,133, , ,0,9999,6, , ,0,9999,111, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501125,133, , ,0,9999,-67, , ,0,9999,-67, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501126,-11, , ,0,9999,-100, , ,0,9999,-33, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501127,50, , ,0,9999,-72, , ,0,9999,0, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501128,33, , ,0,9999,-17, , ,0,9999,-6, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501129,44, , ,0,9999,-39, , ,0,9999,0, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501130,78, , ,0,9999,-67, , ,0,9999,-11, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501201,83, , ,0,9999,-33, , ,0,9999,28, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501202,117, , ,0,9999,-11, , ,0,9999,39, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501203,211, , ,0,9999,17, , ,0,9999,167, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501204,167, , ,0,9999,6, , ,0,9999,6, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501205,72, , ,0,9999,0, , ,0,9999,6, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501206,61, , ,0,9999,-39, , ,0,9999,39, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501207,133, , ,0,9999,39, , ,0,9999,128, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501208,128, , ,0,9999,6, , ,0,9999,11, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501209,67, , ,0,9999,-39, , ,0,9999,6, , ,0,9999
GHCND:USC00440403,BAILEYS CROSSROADS VA US,78.9,38.85,-77.13333,19501210,33, , ,0,9999,-17, , ,0,9999,-6, , ,0,9999
